,법정동코드,법정동명,시도,시군구,읍면동,리,도시코드,시군구코드,읍면동코드,리코드
0,1100000000,서울특별시, , , , ,11,000,000,00
1,1111000000,서울특별시 종로구,종로구, , , ,11,110,000,00
2,1111010100,서울특별시 종로구 청운동,종로구,청운동, , ,11,110,101,00
3,1111010200,서울특별시 종로구 신교동,종로구,신교동, , ,11,110,102,00
4,1111010300,서울특별시 종로구 궁정동,종로구,궁정동, , ,11,110,103,00
5,1111010400,서울특별시 종로구 효자동,종로구,효자동, , ,11,110,104,00
6,1111010500,서울특별시 종로구 창성동,종로구,창성동, , ,11,110,105,00
7,1111010600,서울특별시 종로구 통의동,종로구,통의동, , ,11,110,106,00
8,1111010700,서울특별시 종로구 적선동,종로구,적선동, , ,11,110,107,00
9,1111010800,서울특별시 종로구 통인동,종로구,통인동, , ,11,110,108,00
10,1111010900,서울특별시 종로구 누상동,종로구,누상동, , ,11,110,109,00
11,1111011000,서울특별시 종로구 누하동,종로구,누하동, , ,11,110,110,00
12,1111011100,서울특별시 종로구 옥인동,종로구,옥인동, , ,11,110,111,00
13,1111011200,서울특별시 종로구 체부동,종로구,체부동, , ,11,110,112,00
14,1111011300,서울특별시 종로구 필운동,종로구,필운동, , ,11,110,113,00
15,1111011400,서울특별시 종로구 내자동,종로구,내자동, , ,11,110,114,00
16,1111011500,서울특별시 종로구 사직동,종로구,사직동, , ,11,110,115,00
17,1111011600,서울특별시 종로구 도렴동,종로구,도렴동, , ,11,110,116,00
18,1111011700,서울특별시 종로구 당주동,종로구,당주동, , ,11,110,117,00
19,1111011800,서울특별시 종로구 내수동,종로구,내수동, , ,11,110,118,00
20,1111011900,서울특별시 종로구 세종로,종로구,세종로, , ,11,110,119,00
21,1111012000,서울특별시 종로구 신문로1가,종로구,신문로1가, , ,11,110,120,00
22,1111012100,서울특별시 종로구 신문로2가,종로구,신문로2가, , ,11,110,121,00
23,1111012200,서울특별시 종로구 청진동,종로구,청진동, , ,11,110,122,00
24,1111012300,서울특별시 종로구 서린동,종로구,서린동, , ,11,110,123,00
25,1111012400,서울특별시 종로구 수송동,종로구,수송동, , ,11,110,124,00
26,1111012500,서울특별시 종로구 중학동,종로구,중학동, , ,11,110,125,00
27,1111012600,서울특별시 종로구 종로1가,종로구,종로1가, , ,11,110,126,00
28,1111012700,서울특별시 종로구 공평동,종로구,공평동, , ,11,110,127,00
29,1111012800,서울특별시 종로구 관훈동,종로구,관훈동, , ,11,110,128,00
30,1111012900,서울특별시 종로구 견지동,종로구,견지동, , ,11,110,129,00
31,1111013000,서울특별시 종로구 와룡동,종로구,와룡동, , ,11,110,130,00
32,1111013100,서울특별시 종로구 권농동,종로구,권농동, , ,11,110,131,00
33,1111013200,서울특별시 종로구 운니동,종로구,운니동, , ,11,110,132,00
34,1111013300,서울특별시 종로구 익선동,종로구,익선동, , ,11,110,133,00
35,1111013400,서울특별시 종로구 경운동,종로구,경운동, , ,11,110,134,00
36,1111013500,서울특별시 종로구 관철동,종로구,관철동, , ,11,110,135,00
37,1111013600,서울특별시 종로구 인사동,종로구,인사동, , ,11,110,136,00
38,1111013700,서울특별시 종로구 낙원동,종로구,낙원동, , ,11,110,137,00
39,1111013800,서울특별시 종로구 종로2가,종로구,종로2가, , ,11,110,138,00
40,1111013900,서울특별시 종로구 팔판동,종로구,팔판동, , ,11,110,139,00
41,1111014000,서울특별시 종로구 삼청동,종로구,삼청동, , ,11,110,140,00
42,1111014100,서울특별시 종로구 안국동,종로구,안국동, , ,11,110,141,00
43,1111014200,서울특별시 종로구 소격동,종로구,소격동, , ,11,110,142,00
44,1111014300,서울특별시 종로구 화동,종로구,화동, , ,11,110,143,00
45,1111014400,서울특별시 종로구 사간동,종로구,사간동, , ,11,110,144,00
46,1111014500,서울특별시 종로구 송현동,종로구,송현동, , ,11,110,145,00
47,1111014600,서울특별시 종로구 가회동,종로구,가회동, , ,11,110,146,00
48,1111014700,서울특별시 종로구 재동,종로구,재동, , ,11,110,147,00
49,1111014800,서울특별시 종로구 계동,종로구,계동, , ,11,110,148,00
50,1111014900,서울특별시 종로구 원서동,종로구,원서동, , ,11,110,149,00
51,1111015000,서울특별시 종로구 훈정동,종로구,훈정동, , ,11,110,150,00
52,1111015100,서울특별시 종로구 묘동,종로구,묘동, , ,11,110,151,00
53,1111015200,서울특별시 종로구 봉익동,종로구,봉익동, , ,11,110,152,00
54,1111015300,서울특별시 종로구 돈의동,종로구,돈의동, , ,11,110,153,00
55,1111015400,서울특별시 종로구 장사동,종로구,장사동, , ,11,110,154,00
56,1111015500,서울특별시 종로구 관수동,종로구,관수동, , ,11,110,155,00
57,1111015600,서울특별시 종로구 종로3가,종로구,종로3가, , ,11,110,156,00
