regionCd,regionNm,siDoNm,siGunGuNm,umdNm,riNm,siDoCd,siGunGuCd,DongCd,riCd
1100000000, 서울특별시,서울특별시, , , ,11,0,0,0
1111000000, 서울특별시 종로구,서울특별시,종로구, , ,11,110,0,0
1111010100, 서울특별시 종로구 청운동,서울특별시,종로구,청운동, ,11,110,10,100
1111010200, 서울특별시 종로구 신교동,서울특별시,종로구,신교동, ,11,110,10,200
1111010300, 서울특별시 종로구 궁정동,서울특별시,종로구,궁정동, ,11,110,10,300
1111010400, 서울특별시 종로구 효자동,서울특별시,종로구,효자동, ,11,110,10,400
1111010500, 서울특별시 종로구 창성동,서울특별시,종로구,창성동, ,11,110,10,500
1111010600, 서울특별시 종로구 통의동,서울특별시,종로구,통의동, ,11,110,10,600
1111010700, 서울특별시 종로구 적선동,서울특별시,종로구,적선동, ,11,110,10,700
1111010800, 서울특별시 종로구 통인동,서울특별시,종로구,통인동, ,11,110,10,800
1111010900, 서울특별시 종로구 누상동,서울특별시,종로구,누상동, ,11,110,10,900
1111011000, 서울특별시 종로구 누하동,서울특별시,종로구,누하동, ,11,110,11,0
1111011100, 서울특별시 종로구 옥인동,서울특별시,종로구,옥인동, ,11,110,11,100
1111011200, 서울특별시 종로구 체부동,서울특별시,종로구,체부동, ,11,110,11,200
1111011300, 서울특별시 종로구 필운동,서울특별시,종로구,필운동, ,11,110,11,300
1111011400, 서울특별시 종로구 내자동,서울특별시,종로구,내자동, ,11,110,11,400
1111011500, 서울특별시 종로구 사직동,서울특별시,종로구,사직동, ,11,110,11,500
1111011600, 서울특별시 종로구 도렴동,서울특별시,종로구,도렴동, ,11,110,11,600
1111011700, 서울특별시 종로구 당주동,서울특별시,종로구,당주동, ,11,110,11,700
1111011800, 서울특별시 종로구 내수동,서울특별시,종로구,내수동, ,11,110,11,800
1111011900, 서울특별시 종로구 세종로,서울특별시,종로구,세종로, ,11,110,11,900
1111012000, 서울특별시 종로구 신문로1가,서울특별시,종로구,신문로1가, ,11,110,12,0
1111012100, 서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가, ,11,110,12,100
1111012200, 서울특별시 종로구 청진동,서울특별시,종로구,청진동, ,11,110,12,200
1111012300, 서울특별시 종로구 서린동,서울특별시,종로구,서린동, ,11,110,12,300
1111012400, 서울특별시 종로구 수송동,서울특별시,종로구,수송동, ,11,110,12,400
1111012500, 서울특별시 종로구 중학동,서울특별시,종로구,중학동, ,11,110,12,500
1111012600, 서울특별시 종로구 종로1가,서울특별시,종로구,종로1가, ,11,110,12,600
1111012700, 서울특별시 종로구 공평동,서울특별시,종로구,공평동, ,11,110,12,700
1111012800, 서울특별시 종로구 관훈동,서울특별시,종로구,관훈동, ,11,110,12,800
1111012900, 서울특별시 종로구 견지동,서울특별시,종로구,견지동, ,11,110,12,900
1111013000, 서울특별시 종로구 와룡동,서울특별시,종로구,와룡동, ,11,110,13,0
1111013100, 서울특별시 종로구 권농동,서울특별시,종로구,권농동, ,11,110,13,100
1111013200, 서울특별시 종로구 운니동,서울특별시,종로구,운니동, ,11,110,13,200
1111013300, 서울특별시 종로구 익선동,서울특별시,종로구,익선동, ,11,110,13,300
1111013400, 서울특별시 종로구 경운동,서울특별시,종로구,경운동, ,11,110,13,400
1111013500, 서울특별시 종로구 관철동,서울특별시,종로구,관철동, ,11,110,13,500
1111013600, 서울특별시 종로구 인사동,서울특별시,종로구,인사동, ,11,110,13,600
1111013700, 서울특별시 종로구 낙원동,서울특별시,종로구,낙원동, ,11,110,13,700
1111013800, 서울특별시 종로구 종로2가,서울특별시,종로구,종로2가, ,11,110,13,800
1111013900, 서울특별시 종로구 팔판동,서울특별시,종로구,팔판동, ,11,110,13,900
1111014000, 서울특별시 종로구 삼청동,서울특별시,종로구,삼청동, ,11,110,14,0
1111014100, 서울특별시 종로구 안국동,서울특별시,종로구,안국동, ,11,110,14,100
1111014200, 서울특별시 종로구 소격동,서울특별시,종로구,소격동, ,11,110,14,200
1111014300, 서울특별시 종로구 화동,서울특별시,종로구,화동, ,11,110,14,300
1111014400, 서울특별시 종로구 사간동,서울특별시,종로구,사간동, ,11,110,14,400
1111014500, 서울특별시 종로구 송현동,서울특별시,종로구,송현동, ,11,110,14,500
1111014600, 서울특별시 종로구 가회동,서울특별시,종로구,가회동, ,11,110,14,600
1111014700, 서울특별시 종로구 재동,서울특별시,종로구,재동, ,11,110,14,700
1111014800, 서울특별시 종로구 계동,서울특별시,종로구,계동, ,11,110,14,800
1111014900, 서울특별시 종로구 원서동,서울특별시,종로구,원서동, ,11,110,14,900
1111015000, 서울특별시 종로구 훈정동,서울특별시,종로구,훈정동, ,11,110,15,0
1111015100, 서울특별시 종로구 묘동,서울특별시,종로구,묘동, ,11,110,15,100
1111015200, 서울특별시 종로구 봉익동,서울특별시,종로구,봉익동, ,11,110,15,200
1111015300, 서울특별시 종로구 돈의동,서울특별시,종로구,돈의동, ,11,110,15,300
1111015400, 서울특별시 종로구 장사동,서울특별시,종로구,장사동, ,11,110,15,400
1111015500, 서울특별시 종로구 관수동,서울특별시,종로구,관수동, ,11,110,15,500
1111015600, 서울특별시 종로구 종로3가,서울특별시,종로구,종로3가, ,11,110,15,600
1111015700, 서울특별시 종로구 인의동,서울특별시,종로구,인의동, ,11,110,15,700
1111015800, 서울특별시 종로구 예지동,서울특별시,종로구,예지동, ,11,110,15,800
1111015900, 서울특별시 종로구 원남동,서울특별시,종로구,원남동, ,11,110,15,900
1111016000, 서울특별시 종로구 연지동,서울특별시,종로구,연지동, ,11,110,16,0
1111016100, 서울특별시 종로구 종로4가,서울특별시,종로구,종로4가, ,11,110,16,100
1111016200, 서울특별시 종로구 효제동,서울특별시,종로구,효제동, ,11,110,16,200
1111016300, 서울특별시 종로구 종로5가,서울특별시,종로구,종로5가, ,11,110,16,300
1111016400, 서울특별시 종로구 종로6가,서울특별시,종로구,종로6가, ,11,110,16,400
1111016500, 서울특별시 종로구 이화동,서울특별시,종로구,이화동, ,11,110,16,500
1111016600, 서울특별시 종로구 연건동,서울특별시,종로구,연건동, ,11,110,16,600
1111016700, 서울특별시 종로구 충신동,서울특별시,종로구,충신동, ,11,110,16,700
1111016800, 서울특별시 종로구 동숭동,서울특별시,종로구,동숭동, ,11,110,16,800
