longTermAdminCd,longTermAdminNm,adminPttnName,ratingCd,siDoName,siGunGuName,ratingDate,ratingGrade,opRating,safeRating,rightRating,processRating,resultRating
11156000018,서울특별시립 남부노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,영등포구,2018-08-06,A,100,100,100,98,87
11156000023,구립영등포노인케어센터,노인요양시설,2018년 정기평가,서울특별시,영등포구,2018-08-06,A,98,87,100,94,96
11156000049,참노인요양원(공동생활가정),노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-03-16,C,92,74,93,73,74
11156000057,주현노인요양원(공동생활가정),노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-03-16,B,83,87,84,73,86
11156000213,21세기요양원 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-05-23,C,53,91,81,90,94
11156000148,미래요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-07-04,B,91,77,95,96,90
11156000150,미래요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-07-04,C,78,70,95,79,90
11156000190,가족사랑2,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-05-10,C,64,77,77,66,90
11156000191,가족사랑1,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-05-10,D,50,74,59,54,80
11156000193,대림실버1 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-06-19,D,64,66,56,68,64
11156000001,서울성모원 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-03-05,A,91,88,100,98,93
11156000194,대림실버2 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,영등포구,2018-07-03,B,69,74,81,93,85
11121500093,실버밸리노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-03-05,B,80,75,75,83,92
11121500095,광진노인보호센터,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-04-26,D,89,81,59,83,92
11121500101,광진한울촌노인요양시설,노인요양시설,2018년 정기평가,서울특별시,광진구,2018-03-30,C,83,82,59,69,90
11121500118,므두셀라실버타운,노인요양시설,2018년 정기평가,서울특별시,광진구,2018-10-01,D,60,69,63,72,85
11121500148,광진원광실버센터,노인요양시설,2018년 정기평가,서울특별시,광진구,2018-10-02,E,61,78,40,45,90
11121500005,광진소규모요양시설,노인요양시설,2018년 정기평가,서울특별시,광진구,2018-03-23,B,85,93,100,81,97
11121500161,동부실버케어요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-05-21,D,53,92,61,44,73
11121500009,사랑이있는집노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-03-08,D,62,67,50,68,91
11121500196,성동실버케어요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-09-21,D,78,65,88,56,84
11121500112,밝은요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,광진구,2018-03-07,C,64,93,81,68,87
11121500142,워커힐실버타운,노인요양시설,2018년 정기평가,서울특별시,광진구,2018-05-02,B,78,97,100,83,80
11123000008,유자원,노인요양시설,2018년 정기평가,서울특별시,동대문구,2018-09-11,A,100,88,100,96,92
11123000009,은천요양원,노인요양시설,2018년 정기평가,서울특별시,동대문구,2018-07-11,C,81,89,63,53,82
11123000022,은천노인요양센터,노인요양시설,2018년 정기평가,서울특별시,동대문구,2018-07-11,C,88,86,63,75,79
11123000090,은나무요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,동대문구,2018-04-17,C,75,70,93,64,86
11123000113,한사랑실버케어요양원,노인요양시설,2018년 정기평가,서울특별시,동대문구,2018-07-19,D,63,86,59,81,95
11123000241,도우누리편안한요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,동대문구,2018-03-28,E,21,62,20,20,88
11123000064,성심복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,동대문구,2018-03-08,D,80,88,45,58,80
11123000061,은파요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,동대문구,2018-04-17,B,75,81,100,77,76
11129000100,길음안나의집 노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-03-28,A,88,95,95,100,92
11129000115,케어윌,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-05-29,A,100,97,100,94,92
11129000169,청화요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-08-17,D,75,73,47,57,76
11129000020,순애노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-09-03,A,88,86,100,98,92
11129000104,부모섬김노인요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-10-12,B,85,87,81,75,82
11129000078,진각노인요양센터,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-04-13,C,85,83,77,60,80
11129000127,백마요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-03-15,D,63,83,43,50,80
11129000227,한솔요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-03-09,E,46,95,56,39,74
11129000149,성신노인요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-03-16,C,66,81,54,81,89
11129000170,보문요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-03-06,E,28,67,27,38,82
11129000018,일광노인요양센터,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-05-04,D,88,84,63,70,75
11129000216,둥지요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-06-28,E,26,82,59,36,63
11129000215,종암요양원,노인요양시설,2018년 정기평가,서울특별시,성북구,2018-07-30,D,66,87,59,62,69
11129000192,유민복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,성북구,2018-03-12,E,42,70,68,8,82
11129000139,명성노인복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,성북구,2018-07-06,E,25,66,45,19,85
11135000175,노원실버센터,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-04-04,C,81,89,81,56,73
